call_to_arrival,assign_to_arrival,demand_met
19.135641091492843,18.608329670610566,0.999
19.208865479204874,18.678246208456848,1.0
19.28045344565421,18.76480661875348,1.0
19.00777980540268,18.479319329686085,0.999
19.320563148663922,18.79599761879361,1.0
19.155511305404023,18.604505471979348,0.999
19.38256755355458,18.865420574088205,1.0
19.447848311252415,18.928207062538405,1.0
19.3363073912128,18.81443405507731,0.999
19.365919670901082,18.8474572298271,1.0
19.203905647385486,18.674640835138582,0.999
19.442079801998258,18.909090274531568,1.0
19.03132790332277,18.509318484685284,1.0
19.406279544520842,18.898197740021057,0.999
19.39093845912099,18.872728442402618,1.0
19.611665576429235,19.111380722280483,1.0
19.45815651710761,18.937016494546263,1.0
19.365485271992547,18.851321895453715,1.0
19.000840031459315,18.49442299762857,1.0
19.200963775659556,18.693637843826217,1.0
19.28487043351465,18.773243308567043,1.0
18.940707423124493,18.397560762312466,1.0
19.1353659327344,18.58791793408999,1.0
19.444504364762466,18.92345967908283,1.0
18.971518589645342,18.448722315959273,1.0
18.78260928220986,18.26778087590025,1.0
19.49703480301335,18.99490651315963,0.999
19.204151087159683,18.641052544362694,1.0
19.30844817382161,18.78035705116069,1.0
19.118278991480715,18.605641441250548,0.999
